SRNO,GRNO,date,Time,Entry,deviceId,on,off
1,GN231019,2025-07-27,07:20:44,IN,0729a1bbb26d6dda,0,1
2,GN250684,2025-07-27,07:20:55,IN,0729a1bbb26d6dda,0,1
3,GN250699,2025-07-27,07:21:0,IN,0729a1bbb26d6dda,0,1
4,L02623,2025-07-27,07:25:37,IN,0729a1bbb26d6dda,0,1
5,G02298,2025-07-27,07:26:43,IN,0729a1bbb26d6dda,0,1
6,GN252839,2025-07-27,07:37:23,IN,0729a1bbb26d6dda,0,1
7,L00402,2025-07-27,07:43:39,IN,0729a1bbb26d6dda,0,1
8,G01527,2025-07-27,07:43:45,IN,0729a1bbb26d6dda,0,1
9,GN250707,2025-07-27,07:49:6,IN,0729a1bbb26d6dda,0,1
10,L00123,2025-07-27,08:19:44,IN,0729a1bbb26d6dda,0,1
11,L00123,2025-07-27,10:21:20,OUT,0729a1bbb26d6dda,0,1
12,L03110,2025-07-27,10:31:39,OUT,0729a1bbb26d6dda,0,1
13,GN252839,2025-07-27,10:45:36,OUT,0729a1bbb26d6dda,0,1
14,GN230183,2025-07-27,10:45:54,OUT,0729a1bbb26d6dda,0,1
15,GN250710,2025-07-27,10:48:10,OUT,0729a1bbb26d6dda,0,1
16,L02623,2025-07-27,10:48:16,OUT,0729a1bbb26d6dda,0,1
17,G02298,2025-07-27,10:53:47,OUT,0729a1bbb26d6dda,0,1
18,L02695,2025-07-27,10:55:52,OUT,0729a1bbb26d6dda,0,1
19,GN250699,2025-07-27,10:58:43,OUT,0729a1bbb26d6dda,0,1
20,GN250684,2025-07-27,10:58:49,OUT,0729a1bbb26d6dda,0,1
21,GN231019,2025-07-27,10:58:54,OUT,0729a1bbb26d6dda,0,1
22,G00439,2025-07-27,11:00:4,OUT,0729a1bbb26d6dda,0,1
23,L02517,2025-07-27,11:00:24,OUT,0729a1bbb26d6dda,0,1
24,L00278,2025-07-27,11:05:55,OUT,0729a1bbb26d6dda,0,1
25,L00062,2025-07-27,11:06:34,OUT,0729a1bbb26d6dda,0,1
26,G02936,2025-07-27,11:06:41,OUT,0729a1bbb26d6dda,0,1
27,G00301,2025-07-27,11:07:22,OUT,0729a1bbb26d6dda,0,1
28,G03297,2025-07-27,11:07:29,OUT,0729a1bbb26d6dda,0,1
29,GN230365,2025-07-27,11:07:35,OUT,0729a1bbb26d6dda,0,1
30,GN230966,2025-07-27,11:07:43,OUT,0729a1bbb26d6dda,0,1
31,GN230485,2025-07-27,11:07:47,OUT,0729a1bbb26d6dda,0,1
32,GN230361,2025-07-27,11:07:52,OUT,0729a1bbb26d6dda,0,1
33,G00873,2025-07-27,11:08:4,OUT,0729a1bbb26d6dda,0,1
34,G00018,2025-07-27,11:17:54,OUT,0729a1bbb26d6dda,0,1
35,G00307,2025-07-27,11:41:13,OUT,0729a1bbb26d6dda,0,1
36,L01320,2025-07-27,11:41:32,OUT,0729a1bbb26d6dda,0,1
37,L02749,2025-07-27,11:45:43,OUT,0729a1bbb26d6dda,0,1
38,G03012,2025-07-27,11:46:2,OUT,0729a1bbb26d6dda,0,1
39,G00301,2025-08-03,05:50:26,IN,0729a1bbb26d6dda,0,1
40,L02517,2025-08-03,05:50:53,IN,0729a1bbb26d6dda,0,1
41,GN250686,2025-08-03,06:08:23,IN,0729a1bbb26d6dda,0,1
42,L02475,2025-08-03,06:10:22,IN,0729a1bbb26d6dda,0,1
43,L03060,2025-08-03,06:10:44,IN,0729a1bbb26d6dda,0,1
44,L02033,2025-08-03,06:10:49,IN,0729a1bbb26d6dda,0,1
45,GN230665,2025-08-03,06:11:29,IN,0729a1bbb26d6dda,0,1
46,L01730,2025-08-03,06:12:28,IN,0729a1bbb26d6dda,0,1
47,G01887,2025-08-03,06:12:42,IN,0729a1bbb26d6dda,0,1
48,GN230266,2025-08-03,06:23:48,IN,0729a1bbb26d6dda,0,1
49,G01224,2025-08-03,06:24:0,IN,0729a1bbb26d6dda,0,1
50,L01108,2025-08-03,06:24:5,IN,0729a1bbb26d6dda,0,1
51,L00561,2025-08-03,06:27:53,IN,0729a1bbb26d6dda,0,1
52,G00496,2025-08-03,06:27:58,IN,0729a1bbb26d6dda,0,1
53,G00001,2025-08-03,06:29:0,IN,0729a1bbb26d6dda,0,1
54,G00025,2025-08-03,06:30:31,IN,0729a1bbb26d6dda,0,1
55,G01443,2025-08-03,06:30:41,IN,0729a1bbb26d6dda,0,1
56,G01031,2025-08-03,06:30:48,IN,0729a1bbb26d6dda,0,1
57,G01421,2025-08-03,06:30:56,IN,0729a1bbb26d6dda,0,1
58,G00151,2025-08-03,06:31:6,IN,0729a1bbb26d6dda,0,1
59,L02749,2025-08-03,06:32:29,IN,0729a1bbb26d6dda,0,1
60,L01076,2025-08-03,06:33:34,IN,0729a1bbb26d6dda,0,1
61,G00775,2025-08-03,06:33:40,IN,0729a1bbb26d6dda,0,1
62,L02801,2025-08-03,06:33:46,IN,0729a1bbb26d6dda,0,1
63,L02571,2025-08-03,06:33:55,IN,0729a1bbb26d6dda,0,1
64,G03188,2025-08-03,06:34:10,IN,0729a1bbb26d6dda,0,1
65,G01705,2025-08-03,06:36:18,IN,0729a1bbb26d6dda,0,1
66,L00134,2025-08-03,06:36:26,IN,0729a1bbb26d6dda,0,1
67,G00338,2025-08-03,06:36:49,IN,0729a1bbb26d6dda,0,1
68,L02262,2025-08-03,06:36:59,IN,0729a1bbb26d6dda,0,1
69,G03038,2025-08-03,07:06:47,IN,0729a1bbb26d6dda,0,1
70,G00866,2025-08-03,07:07:11,IN,0729a1bbb26d6dda,0,1
71,L02816,2025-08-03,07:12:14,IN,0729a1bbb26d6dda,0,1
72,L02714,2025-08-03,07:12:19,IN,0729a1bbb26d6dda,0,1
73,G02298,2025-08-03,07:12:25,IN,0729a1bbb26d6dda,0,1
74,GN231029,2025-08-03,07:12:37,IN,0729a1bbb26d6dda,0,1
75,GN231267,2025-08-03,07:12:43,IN,0729a1bbb26d6dda,0,1
76,G00132,2025-08-03,07:15:13,IN,0729a1bbb26d6dda,0,1
77,GN250684,2025-08-03,07:16:24,IN,0729a1bbb26d6dda,0,1
78,GN231019,2025-08-03,07:16:29,IN,0729a1bbb26d6dda,0,1
79,GN250699,2025-08-03,07:16:34,IN,0729a1bbb26d6dda,0,1
80,G03012,2025-08-03,07:18:2,IN,0729a1bbb26d6dda,0,1
81,GN250712,2025-08-03,07:18:15,IN,0729a1bbb26d6dda,0,1
82,L03086,2025-08-03,07:18:24,IN,0729a1bbb26d6dda,0,1
83,GN230268,2025-08-03,07:20:28,IN,0729a1bbb26d6dda,0,1
84,L02826,2025-08-03,07:20:48,IN,0729a1bbb26d6dda,0,1
85,G02157,2025-08-03,07:22:51,IN,0729a1bbb26d6dda,0,1
86,G01374,2025-08-03,07:25:56,IN,0729a1bbb26d6dda,0,1
87,L00211,2025-08-03,07:26:1,IN,0729a1bbb26d6dda,0,1
88,L00497,2025-08-03,07:26:9,IN,0729a1bbb26d6dda,0,1
89,L02586,2025-08-03,07:26:16,IN,0729a1bbb26d6dda,0,1
90,G01148,2025-08-03,07:27:10,IN,0729a1bbb26d6dda,0,1
91,GN250177,2025-08-03,07:27:19,IN,0729a1bbb26d6dda,0,1
92,G00523,2025-08-03,07:30:7,IN,0729a1bbb26d6dda,0,1
93,G00249,2025-08-03,07:30:11,IN,0729a1bbb26d6dda,0,1
94,G01727,2025-08-03,07:30:34,IN,0729a1bbb26d6dda,0,1
95,L02738,2025-08-03,07:30:39,IN,0729a1bbb26d6dda,0,1
96,G01028,2025-08-03,07:33:4,IN,0729a1bbb26d6dda,0,1
97,GN231026,2025-08-03,07:36:56,IN,0729a1bbb26d6dda,0,1
98,GN231010,2025-08-03,07:37:14,IN,0729a1bbb26d6dda,0,1
99,G00359,2025-08-03,07:37:22,IN,0729a1bbb26d6dda,0,1
100,GN230360,2025-08-03,07:37:29,IN,0729a1bbb26d6dda,0,1
101,GN230363,2025-08-03,07:37:35,IN,0729a1bbb26d6dda,0,1
102,L02496,2025-08-03,07:37:48,IN,0729a1bbb26d6dda,0,1
103,G00740,2025-08-03,07:37:55,IN,0729a1bbb26d6dda,0,1
104,G01760,2025-08-03,07:38:16,IN,0729a1bbb26d6dda,0,1
105,G02947,2025-08-03,07:38:43,IN,0729a1bbb26d6dda,0,1
106,GN230630,2025-08-03,07:41:12,IN,0729a1bbb26d6dda,0,1
107,GN230504,2025-08-03,07:41:16,IN,0729a1bbb26d6dda,0,1
108,L02823,2025-08-03,07:41:42,IN,0729a1bbb26d6dda,0,1
109,G00242,2025-08-03,07:42:6,IN,0729a1bbb26d6dda,0,1
110,G02935,2025-08-03,07:42:10,IN,0729a1bbb26d6dda,0,1
111,GN230485,2025-08-03,07:42:22,IN,0729a1bbb26d6dda,0,1
112,GN230361,2025-08-03,07:42:29,IN,0729a1bbb26d6dda,0,1
113,GN230966,2025-08-03,07:42:36,IN,0729a1bbb26d6dda,0,1
114,GN230365,2025-08-03,07:42:43,IN,0729a1bbb26d6dda,0,1
115,G03297,2025-08-03,07:42:49,IN,0729a1bbb26d6dda,0,1
116,GN252839,2025-08-03,07:42:56,IN,0729a1bbb26d6dda,0,1
117,GN230241,2025-08-03,07:43:1,IN,0729a1bbb26d6dda,0,1
118,L01320,2025-08-03,07:46:10,IN,0729a1bbb26d6dda,0,1
119,L02956,2025-08-03,07:46:50,IN,0729a1bbb26d6dda,0,1
120,G02860,2025-08-03,07:46:55,IN,0729a1bbb26d6dda,0,1
121,GN231378,2025-08-03,07:47:6,IN,0729a1bbb26d6dda,0,1
122,G02964,2025-08-03,07:47:18,IN,0729a1bbb26d6dda,0,1
123,G02835,2025-08-03,07:48:1,IN,0729a1bbb26d6dda,0,1
124,L00278,2025-08-03,07:48:31,IN,0729a1bbb26d6dda,0,1
125,GN250709,2025-08-03,07:48:45,IN,0729a1bbb26d6dda,0,1
126,G03190,2025-08-03,07:49:35,IN,0729a1bbb26d6dda,0,1
127,G01523,2025-08-03,07:53:54,IN,0729a1bbb26d6dda,0,1
128,L02180,2025-08-03,07:54:2,IN,0729a1bbb26d6dda,0,1
129,G00228,2025-08-03,07:55:2,IN,0729a1bbb26d6dda,0,1
130,G02225,2025-08-03,07:55:35,IN,0729a1bbb26d6dda,0,1
131,G01230,2025-08-03,07:56:20,IN,0729a1bbb26d6dda,0,1
132,G01755,2025-08-03,08:00:15,IN,0729a1bbb26d6dda,0,1
